name,synonyms,name_sd,synonyms_sd,bm25,fw,bm25_fw,ensemble,match
ABB LTD-REG,,abb -reg,,"[('ABB K.K.', 0.9), ('ABB B.V.', 0.8), ('ABB s.r.o.', 0.7), ('ABB d.o.o.', 0.6), ('ABB S. A.', 0.5)]","[('EG Group Limited', 90), ('ABB Company Limited', 90), ('ABB Limited', 90), ('CO Group AB', 90), ('ABB INC.', 90)]","[('ABB K.K.', 86), ('ABB B.V.', 86), ('ABB d.o.o.', 64), ('ABB s.r.o.', 60), ('ABB S. A.', 57)]","{'ABB K.K.': 1.76, 'ABB B.V.': 1.6600000000000001, 'ABB s.r.o.': 1.2999999999999998, 'ABB d.o.o.': 1.24, 'ABB S. A.': 1.0699999999999998}",ABB K.K.
ABIOMED Inc.,ABIOMED Inc.,abiomed ,abiomed ,"[('Abiomed, Inc.', 0.9), (""THE YOUNG MEN'S CHRISTIAN ASSOCIATION OF METROPOLITAN DENVER"", 0.8), ('Työstökoneliike M. Koskela Oy', 0.7), ('Työväen Teatterin talosäätiö sr', 0.6), ('Työväen Sivistysliitto TSL ry, ruotsiksi Arbetarnas Bildningsförbund ABF rf', 0.5)]","[('Abiomed, Inc.', 90), ('NC Group, Ltd.', 90), ('CO Group AB', 90), ('BIOME LIMITED', 90), ('M & M', 86)]","[('Abiomed, Inc.', 96), (""THE YOUNG MEN'S CHRISTIAN ASSOCIATION OF METROPOLITAN DENVER"", 40), ('Työväen Sivistysliitto TSL ry, ruotsiksi Arbetarnas Bildningsförbund ABF rf', 40), ('Työväen Teatterin talosäätiö sr', 32), ('Työstökoneliike M. Koskela Oy', 24)]","{'Abiomed, Inc.': 1.8599999999999999, ""THE YOUNG MEN'S CHRISTIAN ASSOCIATION OF METROPOLITAN DENVER"": 1.2000000000000002, 'Työstökoneliike M. Koskela Oy': 0.94, 'Työväen Teatterin talosäätiö sr': 0.9199999999999999, 'Työväen Sivistysliitto TSL ry, ruotsiksi Arbetarnas Bildningsförbund ABF rf': 0.9}","Abiomed, Inc."
3i Group,,3i ,,"[('T.B. GROUP S.R.L.', 0.9), ('SOL.EDIL GROUP S.R.L.', 0.8), ('C.E.G. GROUP S.R.L.', 0.7), ('F.P.M. GROUP S.P.A.', 0.6), ('F.C. GROUP S.R.L.', 0.5)]","[('3I GROUP PLC', 90), ('3I PLC', 90), ('P COMPANY', 90), ('i', 90), ('U CORPORATION LTD', 90)]","[('T.B. GROUP S.R.L.', 86), ('SOL.EDIL GROUP S.R.L.', 86), ('C.E.G. GROUP S.R.L.', 86), ('F.P.M. GROUP S.P.A.', 86), ('F.C. GROUP S.R.L.', 86)]","{'T.B. GROUP S.R.L.': 1.76, 'SOL.EDIL GROUP S.R.L.': 1.6600000000000001, 'C.E.G. GROUP S.R.L.': 1.56, 'F.P.M. GROUP S.P.A.': 1.46, 'F.C. GROUP S.R.L.': 1.3599999999999999}",T.B. GROUP S.R.L.
AB InBev SA-NV ,Anheuser-Busch InBev SA/NV,ab inbev sa-nv ,anheuser-busch inbev sa/nv,"[('AB INBEV UK LIMITED', 0.9), ('INBEV SPAIN, S.L.', 0.8), ('INBEV BELGIUM', 0.7), ('AB INBEV CORPORATE SERVICES LIMITED', 0.6), ('Pensioenfonds InBev - Kaderleden', 0.5)]","[('INC S.A.', 90), ('SA GROUP LTD', 90), ('CO Group AB', 90), ('NATIONALE BORG REINSURANCE N.V.', 86), ('EXEMPLOS INSPIRADORES, S.A.', 86)]","[('AB INBEV CORPORATE SERVICES LIMITED', 86), ('Pensioenfonds InBev - Kaderleden', 86), ('AB INBEV UK LIMITED', 69), ('INBEV SPAIN, S.L.', 66), ('INBEV BELGIUM', 53)]","{'AB INBEV UK LIMITED': 1.5899999999999999, 'INBEV SPAIN, S.L.': 1.46, 'INBEV BELGIUM': 1.23, 'AB INBEV CORPORATE SERVICES LIMITED': 1.46, 'Pensioenfonds InBev - Kaderleden': 1.3599999999999999}",AB INBEV UK LIMITED
Accor S.A,Accor,accor sa,accor,"[('Accor Polska Spółka z ograniczoną odpowiedzialnością', 0.9), (""THE YOUNG MEN'S CHRISTIAN ASSOCIATION OF METROPOLITAN DENVER"", 0.8), ('Työtehoseura ry, ruotsiksi Arbetseffektivitetsföreningen rf', 0.7), ('Työväen Teatterin talosäätiö sr', 0.6), ('Työväen Sivistysliitto TSL ry, ruotsiksi Arbetarnas Bildningsförbund ABF rf', 0.5)]","[('ACC LIMITED', 90), ('AC Corporation', 90), ('KENSINGTON ITALY RETAIL HOLDCO S.À R.L.', 86), ('KENSINGTON UK INDUSTRIAL PROPCO S.À R.L.', 86), ('KENSINGTON UK LOGISTICS (BRISTOL) S.À R.L.', 86)]","[('Accor Polska Spółka z ograniczoną odpowiedzialnością', 86), (""THE YOUNG MEN'S CHRISTIAN ASSOCIATION OF METROPOLITAN DENVER"", 86), ('Työtehoseura ry, ruotsiksi Arbetseffektivitetsföreningen rf', 40), ('Työväen Teatterin talosäätiö sr', 40), ('Työväen Sivistysliitto TSL ry, ruotsiksi Arbetarnas Bildningsförbund ABF rf', 40)]","{'Accor Polska Spółka z ograniczoną odpowiedzialnością': 1.76, ""THE YOUNG MEN'S CHRISTIAN ASSOCIATION OF METROPOLITAN DENVER"": 1.6600000000000001, 'Työtehoseura ry, ruotsiksi Arbetseffektivitetsföreningen rf': 1.1, 'Työväen Teatterin talosäätiö sr': 1.0, 'Työväen Sivistysliitto TSL ry, ruotsiksi Arbetarnas Bildningsförbund ABF rf': 0.9}",Accor Polska Spółka z ograniczoną odpowiedzialnością
ServiceNow,,servicenow,,"[('ServiceNow Nederland B.V.', 0.9), ('SERVICENOW, INC.', 0.8), ('SERVICENOW UK LIMITED', 0.7), ('SERVICENOW SOFTWARE DEVELOPMENT INDIA PRIVATE LIMITED', 0.6), ('Työväen Opintorahasto sr', 0.5)]","[('SERVICENOW, INC.', 100), ('SERVICENOW UK LIMITED', 95), ('RV CORP', 90), ('IC', 90), ('I.C.E.', 90)]","[('ServiceNow Nederland B.V.', 90), ('SERVICENOW, INC.', 90), ('SERVICENOW UK LIMITED', 90), ('SERVICENOW SOFTWARE DEVELOPMENT INDIA PRIVATE LIMITED', 90), ('Työväen Opintorahasto sr', 43)]","{'ServiceNow Nederland B.V.': 1.8, 'SERVICENOW, INC.': 1.7000000000000002, 'SERVICENOW UK LIMITED': 1.6, 'SERVICENOW SOFTWARE DEVELOPMENT INDIA PRIVATE LIMITED': 1.5, 'Työväen Opintorahasto sr': 0.9299999999999999}",ServiceNow Nederland B.V.
AAC TECHNOLOGIES,AAC,aac technologies,aac,"[('AAC TECHNOLOGIES HOLDINGS INC.', 0.9), ('AAC TECHNOLOGIES INDIA PRIVATE LIMITED', 0.8), ('AAC TÊXTEIS S.A.', 0.7), ('AAC Holdings, Inc.', 0.6), ('AAC 3 PTE. LTD.', 0.5)]","[('AAE TECHNOLOGIES LIMITED', 94), ('ACM TECHNOLOGIES, INC.', 94), ('Ada Technologies Inc.', 94), ('ABC Technologies Inc.', 94), ('TATA TECHNOLOGIES LIMITED', 91)]","[('AAC TECHNOLOGIES HOLDINGS INC.', 90), ('AAC TECHNOLOGIES INDIA PRIVATE LIMITED', 90), ('AAC Holdings, Inc.', 55), ('AAC TÊXTEIS S.A.', 53), ('AAC 3 PTE. LTD.', 47)]","{'AAC TECHNOLOGIES HOLDINGS INC.': 1.8, 'AAC TECHNOLOGIES INDIA PRIVATE LIMITED': 1.7000000000000002, 'AAC TÊXTEIS S.A.': 1.23, 'AAC Holdings, Inc.': 1.15, 'AAC 3 PTE. LTD.': 0.97}",AAC TECHNOLOGIES HOLDINGS INC.
Abbott Laboratories,,abbott laboratories,,"[('Abbott Laboratories B.V.', 0.9), ('Abbott Laboratories, s.r.o.', 0.8), ('Abbott Laboratories (Philippines)', 0.7), ('Abbott Laboratories Uruguay S.A.', 0.6), ('ABBOTT LABORATORIES SA', 0.5)]","[('ABBOTT LABORATORIES COMPANY LIMITED', 100), ('ABBOTT LABORATORIES NZ LIMITED', 95), ('ABBOTT LABORATORIES, IRELAND, LIMITED', 95), ('ABBOTT LABORATORIES PAKISTAN LIMITED', 95), ('Abbott Laboratories B.V.', 95)]","[('Abbott Laboratories B.V.', 95), ('Abbott Laboratories, s.r.o.', 95), ('ABBOTT LABORATORIES SA', 95), ('Abbott Laboratories (Philippines)', 90), ('Abbott Laboratories Uruguay S.A.', 90)]","{'Abbott Laboratories B.V.': 1.85, 'Abbott Laboratories, s.r.o.': 1.75, 'Abbott Laboratories (Philippines)': 1.6, 'Abbott Laboratories Uruguay S.A.': 1.5, 'ABBOTT LABORATORIES SA': 1.45}",Abbott Laboratories B.V.
Aberforth Smaller Companies Trust,,aberforth smaller  trust,,"[('ABERFORTH SMALLER COMPANIES TRUST PLC', 0.9), ('Pendal Smaller Companies Trust', 0.8), ('GENESIS SMALLER COMPANIES', 0.7), ('S&H Smaller Companies EMU', 0.6), ('BLACKROCK SMALLER COMPANIES TRUST PLC', 0.5)]","[('ABERFORTH SMALLER COMPANIES TRUST PLC', 95), ('LTD TRUST', 90), ('TRUST', 90), ('PREM TRUST NOMINEES LIMITED', 86), ('HSBC INVESTMENT FUND TRUST - HSBC PAN ASIA BOND INDEX FUND', 86)]","[('ABERFORTH SMALLER COMPANIES TRUST PLC', 95), ('Pendal Smaller Companies Trust', 83), ('BLACKROCK SMALLER COMPANIES TRUST PLC', 78), ('GENESIS SMALLER COMPANIES', 77), ('S&H Smaller Companies EMU', 77)]","{'ABERFORTH SMALLER COMPANIES TRUST PLC': 1.85, 'Pendal Smaller Companies Trust': 1.63, 'GENESIS SMALLER COMPANIES': 1.47, 'S&H Smaller Companies EMU': 1.37, 'BLACKROCK SMALLER COMPANIES TRUST PLC': 1.28}",ABERFORTH SMALLER COMPANIES TRUST PLC
ACS,,acs,,"[('ACS SERVICE S.R.L.', 0.9), ('""ACS EXPRESS S.R.L.""', 0.8), ('ACS Groothandel B.V.', 0.7), ('ACS 2007-1 LIMITED', 0.6), ('ACS teplo j.s.a.', 0.5)]","[('EILEEN ISAACS WILL TRUST', 90), ('LEWIS ISAACS WILL TRUST', 90), ('ACSMID (HOLDINGS) LIMITED', 90), ('TRACSCARE MIDCO LIMITED', 90), ('TIPACS2 LIMITED', 90)]","[('ACS SERVICE S.R.L.', 90), ('""ACS EXPRESS S.R.L.""', 90), ('ACS Groothandel B.V.', 90), ('ACS 2007-1 LIMITED', 90), ('ACS teplo j.s.a.', 90)]","{'ACS SERVICE S.R.L.': 1.8, '""ACS EXPRESS S.R.L.""': 1.7000000000000002, 'ACS Groothandel B.V.': 1.6, 'ACS 2007-1 LIMITED': 1.5, 'ACS teplo j.s.a.': 1.4}",ACS SERVICE S.R.L.
